Canada,
Lat,Lon
55.295827,-84.974718
55.279718,-84.869446
55.2561,-84.7514
55.248745,-84.7182
55.245273,-84.688046
55.242218,-84.635564
55.241664,-84.599164
55.244154,-84.566391
55.247491,-84.541382
55.270409,-84.4368
55.282491,-84.388609
55.289991,-84.322782
55.295127,-84.200482
55.279991,-84.162564
55.272073,-84.118055
55.273882,-84.084164
55.286109,-84.049991
55.301382,-84.006391
55.315691,-83.960282
55.3193,-83.926382
55.316936,-83.897509
55.235782,-83.655727
55.184227,-83.569455
55.152073,-83.585346
55.132491,-83.5593
55.182209,-83.557636
55.232854,-83.590573
55.242764,-83.620836
55.243327,-83.649173
55.251518,-83.677636
55.272773,-83.700864
55.262218,-83.574173
55.247218,-83.526391
55.234718,-83.494164
55.197209,-83.179718
55.198882,-83.159446
55.209164,-83.124164
55.229154,-83.082082
55.238609,-83.033336
55.2386,-83.006391
55.236382,-82.985
55.231236,-82.956664
55.222073,-82.936109
55.201382,-82.913327
55.184573,-82.901536
55.154436,-82.874436
55.146664,-82.838336
55.142218,-82.81
55.141518,-82.778264
55.147491,-82.739718
55.158045,-82.704727
55.168882,-82.662709
55.152773,-82.508346
55.133045,-82.449436
55.110409,-82.411118
55.082773,-82.400836
55.071018,-82.335555
55.123145,-82.310446
55.155518,-82.343091
55.148882,-82.307773
55.111382,-82.254182
55.0877,-82.247782
55.063045,-82.2657
55.039436,-82.285482
54.925827,-82.269036
54.880618,-82.243891
54.7875,-82.221118
54.571382,-82.320846
54.410818,-82.403882
54.370618,-82.432209
54.330827,-82.441664
54.203327,-82.427909
54.168327,-82.39
54.143609,-82.362782
54.103054,-82.301391
54.092491,-82.283891
54.068464,-82.2459
53.898882,-82.160282
53.817773,-82.131946
53.783745,-82.130136
53.758327,-82.133609
53.727764,-82.1489
53.674164,-82.189991
53.669445,-82.194155
53.647627,-82.2057
53.613327,-82.214718
53.530554,-82.210282
53.497218,-82.194718
53.453673,-82.167291
53.421664,-82.147782
53.388882,-82.138064
53.344154,-82.125827
53.315827,-82.119446
53.2925,-82.114864
53.271382,-82.117073
53.254718,-82.141391
53.220273,-82.210555
53.193882,-82.248336
53.155545,-82.273473
53.053882,-82.3009
53.0186,-82.296664
52.956382,-82.2739
52.934991,-82.259455
52.924164,-82.235827
52.913318,-82.196382
52.892218,-82.128336
52.879991,-82.101673
52.843045,-82.050555
52.823882,-82.025836
52.804709,-82.001109
52.782773,-81.9757
52.736936,-81.9514
52.544164,-81.726391
52.529445,-81.705836
52.490545,-81.639173
52.478045,-81.614436
52.463745,-81.573346
52.448882,-81.5534
52.338882,-81.5425
52.316382,-81.561391
52.292218,-81.663055
52.254436,-81.822509
52.240554,-81.857636
52.187909,-81.878891
52.196936,-81.834446
52.215754,-81.795546
52.237418,-81.762927
52.240827,-81.718891
52.2375,-81.554991
52.234582,-81.511536
52.220964,-81.472636
52.185127,-81.438946
52.1452,-81.414236
52.107218,-81.365282
52.0986,-81.345282
52.089854,-81.300691
52.082773,-81.264727
52.065545,-81.212509
52.0536,-81.186109
52.044154,-81.1675
52.045545,-81.118055
52.009718,-80.991391
51.991591,-80.974646
51.917218,-80.9243
51.893464,-80.897364
51.8575,-80.809718
51.794718,-80.698609
51.728327,-80.612782
51.694854,-80.589446
51.668882,-80.588055
51.641109,-80.575146
51.518254,-80.508827
51.4868,-80.459727
51.466382,-80.438191
51.356173,-80.430973
51.339718,-80.471664
51.331936,-80.502791
51.323327,-80.540555
51.314154,-80.568618
51.278327,-80.6525
51.241518,-80.699446
51.155818,-80.831682
51.077845,-80.957427
51.057491,-80.988055
51.033464,-81.009173
51.045827,-80.928055
51.082773,-80.888336
51.103327,-80.875273
51.1193,-80.856246
51.128609,-80.827918
51.132764,-80.793609
51.133609,-80.765018
51.137773,-80.744436
51.157627,-80.691518
51.214154,-80.61
51.260273,-80.565282
51.280136,-80.535973
51.292773,-80.512509
51.307209,-80.480282
51.3352,-80.405346
51.336654,-80.371655
51.326382,-80.330291
51.301654,-80.219727
51.297491,-80.190555
51.297082,-80.125127
51.263054,-80.016955
51.254718,-79.996382
51.152909,-79.794164
51.119436,-79.736936
51.081718,-79.716518
51.045364,-79.685109
51.008045,-79.612782
50.9584,-79.537609
50.928191,-79.517918
50.889436,-79.466109
50.875409,-79.444582
50.844718,-79.4132
50.734954,-79.345936
50.764236,-79.330555
50.879718,-79.420836
50.895,-79.439991
50.913318,-79.464718
50.956654,-79.515018
50.983764,-79.537355
51.002773,-79.571118
51.049018,-79.667782
51.079991,-79.701809
51.182282,-79.751182
51.211518,-79.744018
51.243609,-79.720555
51.2643,-79.701664
51.2943,-79.682846
