China,
Lat,Lon
36.196064,120.353245
36.263445,120.307809
36.261854,120.287009
36.202745,120.2724
36.208882,120.161909
36.207209,120.115245
36.199982,120.088854
36.134518,120.083954
36.108173,120.090927
35.979709,120.180254
35.959436,120.237763
35.919154,120.152209
35.900273,120.099291
35.869991,120.055254
35.742773,119.906654
35.649573,119.9029
35.621654,119.8286
35.617909,119.725682
35.578927,119.647454
35.539718,119.634163
35.508609,119.620818
35.459436,119.594436
35.377209,119.549709
35.333045,119.514709
35.309991,119.451663
35.283054,119.423863
35.248882,119.401382
35.2243,119.390127
35.180545,119.380809
35.134718,119.375672
35.1125,119.370254
35.094018,119.349154
35.068154,119.2803
35.066382,119.234909
35.054018,119.2118
35.029573,119.200391
34.884991,119.176091
34.769718,119.197482
34.757773,119.223309
34.750827,119.261109
34.747773,119.285809
34.747773,119.308591
34.758327,119.328882
34.763327,119.368318
34.7461,119.437763
34.733464,119.457627
34.704018,119.477054
34.684154,119.462345
34.607491,119.534909
34.528064,119.651982
34.4718,119.795
34.461654,119.832627
34.458609,119.856236
34.460682,119.893391
34.456382,119.924282
34.430273,119.986927
34.311454,120.248736
34.181664,120.314991
34.123318,120.340818
34.041936,120.368045
33.959436,120.393336
33.761936,120.480818
33.657209,120.498318
33.557909,120.548036
33.499164,120.591927
33.487073,120.611918
33.455827,120.636109
33.420682,120.649018
33.370273,120.656372
33.329509,120.662
33.231654,120.734418
33.165682,120.786518
33.136245,120.803172
32.974991,120.885818
32.895273,120.894991
32.796945,120.879154
32.714709,120.836109
32.696518,120.826372
32.657209,120.827618
32.638882,120.837491
32.588882,120.930818
32.516109,121.100272
32.490273,121.178309
32.466936,121.260818
32.453882,121.294836
32.429573,121.334845
32.366936,121.407063
32.243809,121.419418
32.233118,121.380254
32.113327,121.441227
32.113882,121.473872
32.116036,121.519982
32.103054,121.560254
32.054436,121.660809
32.044018,121.678318
32.021664,121.706645
31.9986,121.738872
31.916245,121.829018
31.889718,121.840272
31.761945,121.890263
31.741527,121.896518
31.693191,121.893463
31.6784,121.873727
31.678327,121.827472
31.696382,121.714709
31.712836,121.647
31.737218,121.6122
31.758054,121.576663
31.812909,121.482054
31.833745,121.431354
31.870273,121.291518
31.859927,121.070191
31.866391,120.944427
31.928654,120.898527
31.948327,120.883609
31.979718,120.855554
31.998327,120.836091
32.017491,120.812763
32.030545,120.789427
32.055964,120.737018
32.065827,120.707763
32.086109,120.641372
32.093609,120.601927
32.1018,120.507418
32.092436,120.472027
32.0761,120.441091
32.017209,120.354427
31.998118,120.331091
31.971109,120.307618
31.946727,120.2727
31.937354,120.239418
31.933609,120.217482
31.933882,120.188309
31.945554,120.099009
31.961936,120.056091
31.982427,120.018109
32.045827,119.964154
32.109718,119.918054
32.147282,119.904636
32.195264,119.900272
32.274645,119.861718
32.306382,119.826663
32.318054,119.796372
32.327291,119.761791
32.315545,119.715554
32.303045,119.680818
32.262773,119.631654
32.190645,119.613109
32.192836,119.649154
32.225818,119.674582
32.236273,119.694109
32.210473,119.728272
32.188045,119.7872
32.156091,119.764527
32.119836,119.768009
32.105554,119.806636
32.066845,119.8726
32.005554,119.870245
31.991936,119.885045
31.945545,119.995818
31.913327,120.1022
31.903882,120.136372
31.899436,120.181927
31.903191,120.225536
31.917773,120.272772
31.954718,120.377763
32.015754,120.433591
