USA,
Lat,Lon
25.127773,-81.046664
25.115554,-81.088055
25.126382,-81.103336
25.160409,-81.146673
25.240482,-81.1775
25.320536,-81.135609
25.298718,-81.108673
25.280273,-81.091664
25.211109,-81.003346
25.2009,-80.977209
25.219854,-80.928891
25.246873,-80.917846
25.299164,-80.954455
25.322427,-80.990836
25.329582,-81.0425
25.3654,-81.107718
25.379527,-81.126391
25.408327,-81.144864
25.471109,-81.172227
25.788054,-81.327655
25.809718,-81.340909
25.835691,-81.3768
25.848882,-81.402218
25.919718,-81.558609
25.930545,-81.618327
25.914436,-81.674709
25.959445,-81.736591
26.086936,-81.780564
26.1,-81.800418
26.138882,-81.811109
26.165554,-81.816955
26.35,-81.841109
26.445691,-81.881618
26.481827,-81.969309
26.5012,-81.955246
26.512327,-81.918727
26.533609,-81.922773
26.7069,-81.785936
26.660273,-81.891118
26.628054,-81.915618
26.5993,-81.920064
26.540827,-81.948746
26.529218,-82.023373
26.554373,-82.066946
26.683882,-82.08
26.707773,-82.079727
26.847773,-82.049436
26.964718,-82.017227
26.9525,-82.100282
26.938045,-82.191936
26.874164,-82.164173
26.818882,-82.150836
26.782882,-82.158891
26.829582,-82.291109
26.844436,-82.309436
26.935409,-82.378882
26.962354,-82.396391
27.021945,-82.424436
27.090827,-82.456118
27.288536,-82.5384
27.319718,-82.545
27.391245,-82.571536
27.409718,-82.587218
27.461664,-82.655273
27.465273,-82.646118
27.496936,-82.590836
27.550273,-82.583755
27.553609,-82.616109
27.640554,-82.5475
27.656664,-82.534727
27.732909,-82.465836
27.744991,-82.442218
27.780691,-82.405009
27.821109,-82.388546
27.880554,-82.4075
27.919436,-82.424164
27.930827,-82.443327
28.029854,-82.691246
27.925618,-82.714927
27.883609,-82.637509
27.873054,-82.603609
27.821873,-82.595073
27.7225,-82.622773
27.696109,-82.636527
27.658054,-82.724727
27.679436,-82.744446
27.814445,-82.835009
27.832773,-82.843891
27.858609,-82.854164
27.894854,-82.852291
27.941727,-82.827782
27.897182,-82.835727
27.936664,-82.809436
27.969718,-82.7975
28.070273,-82.7739
28.230545,-82.749727
28.305554,-82.716109
28.436936,-82.664027
28.539436,-82.641682
28.696382,-82.6286
28.752364,-82.636809
28.767773,-82.654173
28.804054,-82.675618
28.825827,-82.641109
28.849582,-82.628882
28.880136,-82.629718
28.894991,-82.644582
29.0075,-82.750836
29.070554,-82.769455
29.154991,-82.802782
29.163882,-82.831955
29.182773,-82.933064
29.186245,-82.962636
29.179718,-82.983746
29.224436,-83.071673
29.274436,-83.100282
29.422773,-83.2225
29.505273,-83.352218
29.514164,-83.374436
29.525409,-83.398064
29.575827,-83.4075
29.668327,-83.428055
29.680545,-83.466946
29.722636,-83.536664
29.766527,-83.578273
29.805418,-83.583264
29.875691,-83.631946
29.906109,-83.669446
29.9525,-83.737782
29.974091,-83.788191
29.984436,-83.824446
30.017636,-83.889309
30.050554,-83.9375
30.097636,-84.010982
30.101391,-84.031682
30.105691,-84.205555
30.096382,-84.264309
30.070827,-84.329182
29.997082,-84.459027
29.958045,-84.437491
29.955554,-84.412364
29.958045,-84.386127
29.941454,-84.336736
29.92,-84.335
29.894373,-84.347291
29.904809,-84.376555
29.916936,-84.409727
29.920973,-84.449309
29.914718,-84.515836
29.899436,-84.550827
29.886936,-84.574718
29.845827,-84.651946
29.800827,-84.722782
29.781245,-84.752227
29.751109,-84.83
29.7375,-84.865555
29.747218,-84.885282
29.795591,-84.864155
29.779718,-84.915009
29.733609,-84.977782
29.719991,-85.06
29.699436,-85.208891
29.688882,-85.295273
29.676382,-85.341673
29.677773,-85.357091
29.691109,-85.374309
29.710964,-85.386673
29.751664,-85.400555
29.793745,-85.412227
29.813882,-85.413327
29.864682,-85.3992
